login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop
4,5,10,5,7,10,7,7,10,7,10,10,7,10,10,7,10,10,6.6,8.8,10,6.6,8.8,no
5,4,10,10,10,10,10,10,7,10,10,10,7,5,0,0,0,9.25,9.25,8.75,7.4,7.4,7,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,7,7,10,7,5,10,10,7,10,10,7,10,10,7,10,8.8,6.6,10,8.8,6.6,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,10,7,10,7,7,10,7,7,10,10,7,10,10,7,10,8.8,7,10,8.8,7,no
5,5,7,10,7,10,10,7,7,10,7,7,10,7,7,10,10,7.6,10,7.6,7.6,10,7.6,no
5,4,0,0,0,10,10,5,10,10,7,10,10,5,10,10,5,10,10,5.5,8,8,4.4,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,10,10,10,10,10,10,10,7,10,10,7,10,10,7,10,10,8.2,10,10,8.2,no
5,5,10,7,7,10,7,7,10,7,7,10,7,7,10,7,5,10,7,6.6,10,7,6.6,no
5,5,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,9.4,10,10,9.4,no
5,5,10,10,5,10,10,7,10,10,7,10,10,7,10,7,7,10,9.4,6.6,10,9.4,6.6,no
5,4,10,7,7,10,7,5,0,0,0,10,7,7,10,10,7,10,7.75,6.5,8,6.2,5.2,no
5,5,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7,no
5,5,10,10,10,10,10,5,10,10,7,10,10,10,10,10,10,10,10,8.4,10,10,8.4,no
5,5,10,7,7,10,5,7,10,7,7,10,7,7,10,7,7,10,6.6,7,10,6.6,7,no
5,5,10,10,5,10,10,7,10,10,7,10,10,5,10,10,5,10,10,5.8,10,10,5.8,no
5,5,10,10,5,10,10,5,10,10,5,10,10,7,10,10,7,10,10,5.8,10,10,5.8,no
5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,no
5,5,10,10,5,10,10,7,10,10,7,10,10,7,10,10,7,10,10,6.6,10,10,6.6,no
5,5,10,10,10,10,7,7,10,10,7,10,7,7,10,10,10,10,8.8,8.2,10,8.8,8.2,no
5,5,7,7,5,2,5,5,7,5,5,7,5,7,7,2,5,6,4.8,5.4,6,4.8,5.4,no
5,5,10,5,5,10,2,5,10,2,5,10,5,7,10,5,5,10,3.8,5.4,10,3.8,5.4,no
5,5,10,7,10,10,7,7,10,10,7,10,10,10,10,10,10,10,8.8,8.8,10,8.8,8.8,no
5,5,7,10,10,7,10,10,2,10,10,2,10,10,2,10,10,4,10,10,4,10,10,no
4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,7,5,10,10,5,10,7,7,10,7,7,10,7,7,10,7.6,6.2,10,7.6,6.2,no
5,5,5,10,5,10,10,5,10,10,7,10,10,7,10,10,7,9,10,6.2,9,10,6.2,no
5,5,10,10,7,7,7,5,7,10,5,10,10,5,10,10,5,8.8,9.4,5.4,8.8,9.4,5.4,no
5,5,10,5,7,10,7,7,7,7,10,10,7,10,10,7,10,9.4,6.6,8.8,9.4,6.6,8.8,no
5,5,10,10,10,7,10,10,10,10,10,7,10,10,10,10,10,8.8,10,10,8.8,10,10,no
5,4,10,5,7,0,0,0,10,5,5,10,10,10,10,10,10,10,7.5,8,8,6,6.4,no
5,5,10,10,7,10,10,7,10,10,7,10,10,5,10,10,0,10,10,5.2,10,10,5.2,no
5,5,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.4,10,10,9.4,no
5,5,10,7,5,10,7,5,10,10,7,10,7,5,10,10,7,10,8.2,5.8,10,8.2,5.8,no
5,5,10,10,7,10,10,7,10,10,7,10,10,7,10,10,10,10,10,7.6,10,10,7.6,no
5,5,10,10,7,10,10,7,10,10,10,10,10,10,10,10,10,10,10,8.8,10,10,8.8,no
5,5,10,7,5,10,5,5,10,5,5,7,5,5,10,2,5,9.4,4.8,5,9.4,4.8,5,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,9.4,10,10,9.4,10,10,no
5,5,10,10,7,10,7,7,10,7,7,10,10,7,10,10,10,10,8.8,7.6,10,8.8,7.6,no
5,4,10,7,7,10,7,7,10,5,7,10,7,7,0,0,0,10,6.5,7,8,5.2,5.6,no
5,5,10,10,5,7,10,2,10,10,5,7,10,5,10,10,5,8.8,10,4.4,8.8,10,4.4,no
5,5,10,7,5,10,10,7,10,10,10,10,10,7,10,10,7,10,9.4,7.2,10,9.4,7.2,no
5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,5,5,no
